date,area,object,issue,action_taken,expected_effect,review_after,status,notes
2026-03-08,site,whole_site,WordPress → Next.js migration,Cutover completed,New site live; old URLs preserved,2026-04-08,done,Phase 4 begins
2026-03,seo,/gevelisolatie/[city],City pages needed for geo coverage,21 city pages deployed,Geo queries captured per city,2026-04-15,done,Maintenance only going forward
2026-04-07,seo,/muren-stucen/,0% CTR despite 822 impressions; title misses top queries,Recommended title/meta rewrite,CTR improvement from existing impressions,2026-05-15,pending,Title should include sausklaar/behangklaar + geo
2026-04-07,seo,/muren-stucen-2/,Legacy duplicate leaking 32 impressions,301 redirect deployed in root.htaccess,Impression consolidation,2026-05-01,done,Deployed; monitor GSC de-indexation
2026-04-07,seo,/muren-stucen/,stucen rotterdam query on 3→2 competing pages (redirect reduced),Identified cannibalization; owner page TBD (/ vs /muren-stucen/),Single owner page should rank,2026-05-01,pending,Redirect removed /muren-stucen-2/; still need to resolve / vs /muren-stucen/ ownership
2026-04-07,seo,keyword_intelligence,No DataForSEO enrichment for stucen keywords,Recommended enrichment run for stucen cluster,Real search volumes + competitive density,2026-04-30,pending,Currently only gevelisolatie cluster enriched
2026-07-19,measurement,site_cta,Phone-first CTAs conflicted with no-phone-service constraint,WhatsApp-first CTA shipped (navbar/sticky/contact/hero/form errors) + CtaClickTracker events,Leads shift to serviceable channels; click channels measurable,2026-08-17,done,Committed by owner; GTM triggers for bm_*_click pending owner
2026-07-19,strategy,whole_project,Old strategy (gevelisolatie-only + info content) underperformed,Strategy v2 fixed: facade complex + local-first SEO + Ads restructure,CPA back to 35-50 EUR; non-brand organic growth,2026-08-17,done,reports/combined/strategy_v2_draft_2026-07-19.md approved by owner
2026-07-20,ppc,campaign_23271040037,Missing historical converters buiten stucwerk / gevel schilderen,Restructure v2 applied by owner: +3 ad groups +26 negatives budget 13eur pauses,Blended CPA < 60 EUR by 2026-08-17,2026-08-17,done,API-verified 0 discrepancies; sitelinks per ad group added; ad strength fixed via headlines
2026-07-20,seo,city_pages,City page priorities unknown,DataForSEO city matrix run ($0.015): gevelisolatie micro-volume; stukadoor {city} 3500/mo real,Wave 1 = Rotterdam Zoetermeer Leiden Delft Dordrecht + stukadoor buitenwerk section,2026-08-03,pending,Wave 1 plan awaiting owner approval; outputs/city_service_matrix_2026-07-20.json
2026-09-04,seo,/gevelisolatie/,Title lacked exact token buitengevelisolatie (GSC pos 46.5); plan 2026-08-15 item B3,Title -> "Buitengevelisolatie (ETICS) – prijs per m²" (= H1); description leads with gevelisolatie buitenkant,Position on buitengevelisolatie <=25 and CTR up on ETICS queries,2026-10-16,done,Title budget is 47 chars (suffix | BM klus BV); plan wording did not fit
2026-09-04,seo,/buiten-stucwerk/,Pos 8.8 / 800 impr / 3 clicks; betonstuc (880/mo) not in title; plan item B4,Title -> "Buitenmuur stucen: kosten per m² & betonstuc"; description adds buiten stucwerk,CTR on gevel stucen >=4% and impressions on betonstuc,2026-10-16,done,gevel stucen kept in H1 + description; betonstuc content section still pending
2026-09-04,measurement,contact_form+quote_modal,Leads reached WP without referrer or first-touch UTM/gclid; WP log could not be reconciled by channel,Site sends referrer + attribution {landing_url referrer utm_* gclid first_seen_at} via lib/attribution.ts (sessionStorage first touch captured by pageview beacon),WP lead log becomes channel-attributable; enables offline conversion import,2026-09-27,done,WP plugin v2 must store the new fields (spec in action_plan_2026-09-04.md A1)
2026-09-04,seo,/gevel-schilderen/keimen/,"14 keimen queries / 1239 impr / 0 clicks landing on parent at pos 27-47; no keimen page (plan B1)","New cluster child page (kosten per m2, keimen vs schilderen vs kaleien, geschiktheid, factoren, FAQ) + links from parent and /gevelisolatie/afwerkingen/; brief seo-system/briefs/gevel-schilderen-keimen.yaml","Indexed within 2 weeks; keimen-kosten family position <=20 by 2026-11-15",2026-10-16,done,"Prices reuse published gevel-schilderen ranges; owner to confirm keimen-specific range (see brief uncertainty flags)"
2026-09-04,seo,/muren-stucen/sausklaar-behangklaar/,"52 sausklaar/behangklaar queries / 4019 impr / 0 clicks landing on parent at pos 20-37 (plan B2)","New cluster child page (verschil, prijs per niveau, keuzehulp, voorstrijken/schuren/droogtijd, FAQ from PAA) + links from parent hero (above fold), afwerking section and footer; brief seo-system/briefs/muren-stucen-sausklaar-behangklaar.yaml","Indexed within 2 weeks; sausklaar family position <=20 and >=20 clicks/90d by 2026-11-15",2026-10-16,done,"Prices reuse published muren-stucen ranges; design pass for both new cluster pages pending (owner request)"
